BUS UID,Fuel,GEN UID,Plant Code,Unit Type,CO2 Emissions Lbs/MWh
160206_1,NG (Natural Gas),4939_NaturalGasFiredCombinedCycle_3,4939,Natural Gas Fired Combined Cycle,932.4778302315890
160190_1,NG (Natural Gas),3441_NaturalGasFiredCombinedCycle_8,3441,Natural Gas Fired Combined Cycle,883.4736207170220
160191_1,NG (Natural Gas),3441_NaturalGasFiredCombinedCycle_9,3441,Natural Gas Fired Combined Cycle,883.4736207170220
160207_1,NG (Natural Gas),4939_NaturalGasFiredCombinedCycle_4,4939,Natural Gas Fired Combined Cycle,932.4778302315890
190159_1,WND (Wind),59245_OnshoreWindTurbine_FLUV1,59245,Onshore Wind Turbine,0.0
230286_1,NG (Natural Gas),55062_NaturalGasFiredCombinedCycle_GTG2,55062,Natural Gas Fired Combined Cycle,832.7969290736730
270217_1,NG (Natural Gas),55153_NaturalGasFiredCombinedCycle_STG1,55153,Natural Gas Fired Combined Cycle,831.1875798072930
270209_1,NG (Natural Gas),55137_NaturalGasFiredCombinedCycle_CTG2,55137,Natural Gas Fired Combined Cycle,838.862810071475
270210_1,NG (Natural Gas),55137_NaturalGasFiredCombinedCycle_CTG3,55137,Natural Gas Fired Combined Cycle,838.862810071475
230282_1,LIG (Lignite Coal),7030_ConventionalSteamCoal_2,7030,Conventional Steam Coal,2515.155378689220
170554_1,NG (Natural Gas),55097_NaturalGasFiredCombinedCycle_CTG3,55097,Natural Gas Fired Combined Cycle,833.8917064786300
210341_1,NG (Natural Gas),58001_NaturalGasFiredCombinedCycle_CTG-4,58001,Natural Gas Fired Combined Cycle,848.1892185919150
240210_1,WND (Wind),55968_OnshoreWindTurbine_WTG1,55968,Onshore Wind Turbine,0.0
230281_1,LIG (Lignite Coal),7030_ConventionalSteamCoal_1,7030,Conventional Steam Coal,2515.155378689220
150490_1,NG (Natural Gas),55320_NaturalGasFiredCombinedCycle_GT2,55320,Natural Gas Fired Combined Cycle,853.3723845189640
190182_1,WND (Wind),60366_OnshoreWindTurbine_OSWF,60366,Onshore Wind Turbine,0.0
140340_1,NG (Natural Gas),7900_NaturalGasFiredCombinedCycle_5C,7900,Natural Gas Fired Combined Cycle,967.9424243172340
190167_1,WND (Wind),59733_OnshoreWindTurbine_GPII,59733,Onshore Wind Turbine,0.0
220199_1,NG (Natural Gas),58471_NaturalGasFiredCombustionTurbine_CTG2,58471,Natural Gas Fired Combustion Turbine,1314.6930617275900
190134_1,WND (Wind),58681_OnshoreWindTurbine_RT661,58681,Onshore Wind Turbine,0.0
190118_1,WND (Wind),56773_OnshoreWindTurbine_1,56773,Onshore Wind Turbine,0.0
190169_1,WND (Wind),59734_OnshoreWindTurbine_BFW,59734,Onshore Wind Turbine,0.0
180119_1,WND (Wind),57260_OnshoreWindTurbine_1,57260,Onshore Wind Turbine,0.0
240282_1,WND (Wind),57153_OnshoreWindTurbine_1,57153,Onshore Wind Turbine,0.0
240307_1,WND (Wind),61001_OnshoreWindTurbine_WT1,61001,Onshore Wind Turbine,0.0
150520_1,WND (Wind),59732_OnshoreWindTurbine_GPI,59732,Onshore Wind Turbine,0.0
150505_1,WND (Wind),57981_OnshoreWindTurbine_GEN1,57981,Onshore Wind Turbine,0.0
220234_1,SUN (Solar),60581_SolarPhotovoltaic_UCTX,60581,Solar Photovoltaic,0.0
210346_1,WND (Wind),58321_OnshoreWindTurbine_1,58321,Onshore Wind Turbine,0.0
160260_1,NG (Natural Gas),55313_OtherGases_STG,55313,Other Gases,1046.5869493861100
220178_1,WND (Wind),56779_OnshoreWindTurbine_1,56779,Onshore Wind Turbine,0.0
240260_1,WND (Wind),56763_OnshoreWindTurbine_1,56763,Onshore Wind Turbine,0.0
150486_1,NG (Natural Gas),55230_NaturalGasFiredCombinedCycle_CT4,55230,Natural Gas Fired Combined Cycle,863.9534000626590
240291_1,WND (Wind),60217_OnshoreWindTurbine_RKSP,60217,Onshore Wind Turbine,0.0
250371_1,NG (Natural Gas),55226_NaturalGasFiredCombinedCycle_GT3,55226,Natural Gas Fired Combined Cycle,838.4967365938270
140362_1,NG (Natural Gas),55168_NaturalGasFiredCombinedCycle_1,55168,Natural Gas Fired Combined Cycle,935.1734831937100
200174_1,NG (Natural Gas),55545_NaturalGasFiredCombinedCycle_CTG2,55545,Natural Gas Fired Combined Cycle,872.2444669314220
140363_1,NG (Natural Gas),55168_NaturalGasFiredCombinedCycle_2,55168,Natural Gas Fired Combined Cycle,935.1734831937100
